p0_p4/6


p0_C0

p0_C13	 <---> p4/6_C3	 Total Correlation: 2.137499856597097	 Name: 
p0_C13	 <---> p4/6_C10	 Total Correlation: 12.614861159576357	 Name: 


p0_C14

p0_C14	 <---> p4/6_C9	 Total Correlation: 0.7188601231411436	 Name: 
p0_C14	 <---> p4/6_C0	 Total Correlation: 0.7353061850112187	 Name: 
p0_C14	 <---> p4/6_C7	 Total Correlation: 0.8444755010063901	 Name: Excitatory
p0_C14	 <---> p4/6_C2	 Total Correlation: 0.8637149760464048	 Name: Excitatory
p0_C14	 <---> p4/6_C4	 Total Correlation: 0.9246828111261534	 Name: 
p0_C14	 <---> p4/6_C1	 Total Correlation: 0.9251339759115903	 Name: Excitatory
p0_C14	 <---> p4/6_C3	 Total Correlation: 0.9547601578513834	 Name: Excitatory
p0_C14	 <---> p4/6_C6	 Total Correlation: 1.1538683098450857	 Name: 
p0_C14	 <---> p4/6_C10	 Total Correlation: 1.402880644127121	 Name: Excitatory
p0_C14	 <---> p4/6_C5	 Total Correlation: 1.5202218175754176	 Name: 
p0_C14	 <---> p4/6_C8	 Total Correlation: 1.5472354438589355	 Name: 
