p4/6_p10


p4/6_C0

p4/6_C8	 <---> p10_C11	 Total Correlation: 0.809542386742564	 Name: Inhibitory
p4/6_C8	 <---> p10_C2	 Total Correlation: 0.9552881572739079	 Name: Inhibitory
p4/6_C8	 <---> p10_C1	 Total Correlation: 1.0425430592036817	 Name: Inhibitory
p4/6_C8	 <---> p10_C5	 Total Correlation: 1.140201274500058	 Name: Inhibitory
p4/6_C8	 <---> p10_C8	 Total Correlation: 1.8042723040854791	 Name: Inhibitory
p4/6_C8	 <---> p10_C7	 Total Correlation: 1.914711191996063	 Name: 
p4/6_C8	 <---> p10_C3	 Total Correlation: 2.339146367882119	 Name: 
p4/6_C8	 <---> p10_C0	 Total Correlation: 3.3798791530809815	 Name: 
p4/6_C8	 <---> p10_C6	 Total Correlation: 5.70862026957437	 Name: 
p4/6_C8	 <---> p10_C4	 Total Correlation: 13.577556720647118	 Name: 


p4/6_C9

p4/6_C9	 <---> p10_C9	 Total Correlation: 0.16371366330857953	 Name: Inhibitory
p4/6_C9	 <---> p10_C2	 Total Correlation: 0.21691800636278066	 Name: Inhibitory
p4/6_C9	 <---> p10_C7	 Total Correlation: 0.26505524166229993	 Name: 
p4/6_C9	 <---> p10_C10	 Total Correlation: 0.2709991856304214	 Name: Inhibitory
p4/6_C9	 <---> p10_C5	 Total Correlation: 0.3214333415688457	 Name: Inhibitory
p4/6_C9	 <---> p10_C11	 Total Correlation: 0.4083049838504237	 Name: Inhibitory
p4/6_C9	 <---> p10_C3	 Total Correlation: 0.5003768107394222	 Name: 
p4/6_C9	 <---> p10_C1	 Total Correlation: 0.5566526231528133	 Name: Inhibitory
p4/6_C9	 <---> p10_C8	 Total Correlation: 1.0544565240017112	 Name: Inhibitory
p4/6_C9	 <---> p10_C0	 Total Correlation: 1.304589444171908	 Name: 
p4/6_C9	 <---> p10_C4	 Total Correlation: 1.3588625203326334	 Name: 
p4/6_C9	 <---> p10_C6	 Total Correlation: 2.8522346947145225	 Name: 


p4/6_C10

p4/6_C10	 <---> p10_C9	 Total Correlation: 0.0	 Name: 
p4/6_C10	 <---> p10_C4	 Total Correlation: 0.7722078285304267	 Name: Excitatory
p4/6_C10	 <---> p10_C6	 Total Correlation: 1.1923652136263134	 Name: Excitatory
p4/6_C10	 <---> p10_C7	 Total Correlation: 1.3713981660686616	 Name: Excitatory
p4/6_C10	 <---> p10_C3	 Total Correlation: 3.502994135229873	 Name: 
p4/6_C10	 <---> p10_C0	 Total Correlation: 5.799214476253938	 Name: 
p4/6_C10	 <---> p10_C11	 Total Correlation: 8.012787874364657	 Name: 
p4/6_C10	 <---> p10_C5	 Total Correlation: 16.03697752363198	 Name: 
p4/6_C10	 <---> p10_C8	 Total Correlation: 32.13904203519588	 Name: 
p4/6_C10	 <---> p10_C10	 Total Correlation: 95.48353588531498	 Name: 
