p10_p15


p10_C0

p10_C8	 <---> p15_C12	 Total Correlation: 5.57464143603571	 Name: 
p10_C8	 <---> p15_C6	 Total Correlation: 7.659426109425869	 Name: 


p10_C9

p10_C9	 <---> p15_C2	 Total Correlation: 0.1404229966098121	 Name: 
p10_C9	 <---> p15_C8	 Total Correlation: 0.15144753311006603	 Name: Inhibitory
p10_C9	 <---> p15_C13	 Total Correlation: 0.16875737176463557	 Name: 
p10_C9	 <---> p15_C9	 Total Correlation: 0.1829331348255784	 Name: 
p10_C9	 <---> p15_C5	 Total Correlation: 0.2106252473157036	 Name: 
p10_C9	 <---> p15_C10	 Total Correlation: 0.21195096142114525	 Name: Inhibitory
p10_C9	 <---> p15_C1	 Total Correlation: 0.30631863087269184	 Name: Inhibitory
p10_C9	 <---> p15_C7	 Total Correlation: 0.3946393662833834	 Name: 
p10_C9	 <---> p15_C11	 Total Correlation: 0.44425182987055	 Name: Inhibitory
p10_C9	 <---> p15_C4	 Total Correlation: 0.491508012944747	 Name: Inhibitory
p10_C9	 <---> p15_C0	 Total Correlation: 0.6836049680456749	 Name: 
p10_C9	 <---> p15_C3	 Total Correlation: 0.7381428906135981	 Name: 
p10_C9	 <---> p15_C12	 Total Correlation: 1.9716247351318474	 Name: 
p10_C9	 <---> p15_C6	 Total Correlation: 2.4567913626710194	 Name: 


p10_C10

p10_C10	 <---> p15_C8	 Total Correlation: 0.2746505598910359	 Name: Inhibitory
p10_C10	 <---> p15_C11	 Total Correlation: 0.4318077848112261	 Name: Inhibitory
p10_C10	 <---> p15_C4	 Total Correlation: 0.6304260811906351	 Name: Inhibitory
p10_C10	 <---> p15_C1	 Total Correlation: 0.6495487405708444	 Name: Inhibitory
p10_C10	 <---> p15_C2	 Total Correlation: 0.9367460672938118	 Name: Inhibitory
p10_C10	 <---> p15_C7	 Total Correlation: 1.0014856888962995	 Name: 
p10_C10	 <---> p15_C5	 Total Correlation: 1.6102603562248456	 Name: 
p10_C10	 <---> p15_C10	 Total Correlation: 1.8075842911253965	 Name: Inhibitory
p10_C10	 <---> p15_C13	 Total Correlation: 2.178867532013204	 Name: 
p10_C10	 <---> p15_C9	 Total Correlation: 2.5674229054170916	 Name: 
p10_C10	 <---> p15_C0	 Total Correlation: 2.59775405046458	 Name: 
p10_C10	 <---> p15_C12	 Total Correlation: 3.0805391365859105	 Name: 
p10_C10	 <---> p15_C6	 Total Correlation: 7.118723066869354	 Name: 
p10_C10	 <---> p15_C3	 Total Correlation: 15.517659596657019	 Name: 


p10_C11

p10_C11	 <---> p15_C2	 Total Correlation: 0.315134215856186	 Name: Inhibitory
p10_C11	 <---> p15_C8	 Total Correlation: 0.32440497692123466	 Name: Inhibitory
p10_C11	 <---> p15_C1	 Total Correlation: 0.37197899343414165	 Name: Inhibitory
p10_C11	 <---> p15_C10	 Total Correlation: 0.40607605884827047	 Name: Inhibitory
p10_C11	 <---> p15_C13	 Total Correlation: 0.42115338011570824	 Name: 
p10_C11	 <---> p15_C4	 Total Correlation: 0.43887998306076326	 Name: Inhibitory
p10_C11	 <---> p15_C7	 Total Correlation: 0.4769202523458064	 Name: 
p10_C11	 <---> p15_C5	 Total Correlation: 0.5013344317521441	 Name: 
p10_C11	 <---> p15_C9	 Total Correlation: 0.7065695556771451	 Name: 
p10_C11	 <---> p15_C11	 Total Correlation: 0.7503605895132947	 Name: Inhibitory
p10_C11	 <---> p15_C3	 Total Correlation: 0.9806429235890661	 Name: 
p10_C11	 <---> p15_C0	 Total Correlation: 1.0331868048166837	 Name: 
p10_C11	 <---> p15_C12	 Total Correlation: 2.477589502411755	 Name: 
p10_C11	 <---> p15_C6	 Total Correlation: 3.761598092773987	 Name: 
